pablo|1|0|9|0|2025-11-09 12:43:06
Joan|2|2140|136|11|2025-11-10 10:46:21
Joan|1|800|233|8|2025-11-10 10:52:30
Joan|1|900|200|9|2025-11-10 15:39:37
Anth|1|200|78|2|2025-11-10 16:23:53
Anthony|1|1500|221|15|2025-11-10 16:30:11
koko|2|3720|271|23|2025-11-10 16:56:14
xd|1|1400|169|14|2025-11-10 17:06:21
Prueba|1|1400|192|14|2025-11-10 19:27:40
loloa|1|600|175|6|2025-11-10 19:39:33
jeid|1|1400|188|14|2025-11-10 19:47:08
perder|1|300|68|3|2025-11-10 20:16:39
loser|1|0|28|0|2025-11-10 20:18:38
perder|1|0|71|0|2025-11-10 20:28:00
MArio|2|5460|296|41|2025-11-10 22:05:01
Lw|2|4410|240|28|2025-11-10 23:25:31
